Geneid	control1	control2	control3	control4	necrosis1	necrosis2	necrosis3	necrosis4
FGSG_00220	60	60	2	2	3	3	4	4
FGSG_00221	2	2	0	0	0	0	0	0
FGSG_00222	0	0	2	1	0	0	1	1
FGSG_11713	0	0	0	0	0	0	1	1
FGSG_11714	0	0	4	3	0	0	1	1
FGSG_00224	2252	2248	1682	1685	3	3	50	48
FGSG_00225	2	2	2	2	0	0	1	1
FGSG_00226	22	22	7	8	0	0	1	1
FGSG_00227	85	85	14	14	0	0	0	0
FGSG_11715	0	0	0	0	0	0	0	0
FGSG_11716	14	14	3	3	0	0	2	2
FGSG_00229	2	2	1	1	0	0	0	0
FGSG_00230	0	0	0	0	0	0	0	0
FGSG_11717	0	0	1	1	0	0	0	0
FGSG_11718	0	0	0	0	0	0	0	0
FGSG_00231	648	652	12	16	25	25	1	1
FGSG_00232	5	4	5	3	0	0	0	0
FGSG_11719	0	0	0	0	0	0	0	0
FGSG_00233	0	0	0	0	0	0	0	0
FGSG_00234	0	0	0	0	0	0	1	1
FGSG_00235	27	27	7	7	0	0	0	0
FGSG_00236	0	0	0	0	0	0	0	0
FGSG_00237	4	4	1	0	0	0	0	0
FGSG_11720	14	14	2	2	0	0	0	0
FGSG_11721	64	64	6	6	1	1	1	1
FGSG_11722	0	0	0	0	0	0	0	0
FGSG_11723	0	0	0	0	0	0	0	0
FGSG_00239	0	0	1	1	0	0	0	0
FGSG_11724	32	33	2	3	0	0	0	0
FGSG_00240	64	64	5	5	0	0	0	0
FGSG_11725	0	0	0	0	0	0	0	0
FGSG_11726	0	0	0	0	0	0	0	0
FGSG_11727	0	0	0	0	0	0	4	4
FGSG_00242	0	0	0	0	0	0	3	3
FGSG_11728	14	15	0	0	0	0	15	12
FGSG_00243	3315	3335	243	255	457	462	101	98
FGSG_11729	486	483	35	36	8	6	15	16
FGSG_20502	8	7	2	3	0	0	0	0
FGSG_11730	0	0	0	0	4	4	1	2
FGSG_11731	10	10	0	0	0	0	2	2
FGSG_00245	0	0	0	0	0	0	1	1
FGSG_00246	209	206	4	5	0	0	1	0
FGSG_00247	14	14	4	4	1	1	1	1
FGSG_11732	50	58	18	16	6	5	4	4
FGSG_00248	2627	2641	328	332	43	41	25	24
FGSG_00249	434	432	17	18	8	8	17	17
FGSG_11733	547	538	59	58	2	2	6	6
FGSG_11734	447	456	59	59	5	5	4	5
FGSG_00251	2564	2515	183	169	0	0	54	51
FGSG_00252	0	0	1	1	0	0	2	3
FGSG_00253	6	6	1	1	0	0	0	0
FGSG_00254	0	0	1	0	0	0	2	2
FGSG_11735	0	0	0	1	0	0	0	0
FGSG_00255	1	1	0	0	0	0	1	1
FGSG_00256	18	18	0	0	2	2	2	2
FGSG_00257	2169	2144	267	254	8	8	7	7
FGSG_00258	20	20	1	2	2	2	7	6
FGSG_00259	844	846	73	73	23	23	57	57
FGSG_00260	5941	5938	4786	4645	5588	5571	3932	3890
FGSG_00261	2424	2406	237	233	72	69	115	112
FGSG_00262	10	10	1	0	3	3	4	4
FGSG_00263	858	858	125	126	2	2	12	12
FGSG_00264	1243	1282	96	101	10	10	4	3
FGSG_00265	533	515	61	58	7	7	6	6
FGSG_00266	1317	1315	68	65	50	52	18	20
FGSG_00267	49	49	1	1	9	9	10	10
FGSG_00268	14	14	14	15	1	1	9	7
FGSG_11736	21	21	7	7	5	5	6	6
FGSG_00269	507	504	59	59	6	6	22	28
FGSG_00270	1969	1979	220	226	14	14	26	26
FGSG_11737	12	12	3	2	159	140	6	7
FGSG_11738	2	2	0	0	1	1	2	2
FGSG_00271	4022	4013	393	392	416	414	71	71
FGSG_00272	34	37	7	9	13	13	3	3
FGSG_00273	1	1	0	0	1	1	2	2
FGSG_11739	0	0	2	1	1	1	0	1
FGSG_00274	1	0	0	0	0	0	3	3
FGSG_00275	146	146	22	20	2	2	8	9
FGSG_00276	749	741	51	47	668	663	314	298
FGSG_00277	415	421	20	23	416	444	165	170
FGSG_00278	325	325	62	62	60	61	83	82
FGSG_00279	1019	1010	108	106	99	93	47	44
FGSG_11740	159	144	30	22	19	17	11	11
FGSG_20503	0	0	0	0	0	0	0	0
FGSG_00280	291	294	40	43	6	8	10	12
FGSG_00281	176	179	23	28	31	31	32	31
FGSG_00282	896	883	37	38	35	35	6	7
FGSG_00283	662	655	78	73	15	15	15	14
FGSG_00284	304	304	108	111	8	8	64	63
FGSG_20504	0	0	3	3	0	0	4	4
FGSG_00285	1151	1138	107	103	333	329	1349	1322
FGSG_11741	272	285	47	42	91	97	445	472
FGSG_00286	3342	3333	291	296	40	40	23	22
FGSG_00287	204	196	29	28	5	5	5	5
FGSG_00288	1029	1125	127	128	183	196	15	13
FGSG_00289	180	181	29	32	2	2	1	1
FGSG_11742	1985	1980	405	399	158	158	90	84
FGSG_11743	268	268	17	17	3	3	2	2
FGSG_00291	418	419	18	18	3	3	5	5
FGSG_00292	2792	2804	305	302	7	7	4	4
FGSG_00293	466	463	236	221	1	1	8	8
FGSG_00294	296	298	18	18	34	34	5	5
FGSG_00295	180	181	8	10	61	61	8	9
FGSG_00296	2099	2128	192	193	117	120	32	32
FGSG_00297	1489	1501	142	136	5	5	12	11
FGSG_00298	1441	1450	88	89	50	50	50	49
FGSG_00299	3664	3618	340	342	18	18	28	30
FGSG_00300	6579	6563	457	441	187	187	141	143
FGSG_00301	170	170	35	35	1	1	3	3
FGSG_00302	312	311	46	47	0	0	3	3
FGSG_00303	640	657	37	35	28	27	11	10
FGSG_00304	352	349	76	71	1	1	14	14
FGSG_00305	1213	1214	181	177	4	4	10	12
FGSG_00306	1777	1768	130	128	7	7	22	22
FGSG_00307	360	363	129	131	3	3	5	5
FGSG_00308	2900	2889	228	221	128	127	66	64
FGSG_00309	356	358	57	57	6	6	7	7
FGSG_00310	4574	4570	165	170	75	75	29	28
FGSG_00311	24	24	1	1	0	1	0	0
FGSG_00312	45	45	2	2	1	0	0	0
FGSG_00313	171	171	16	16	2	2	3	3
FGSG_11744	12	13	0	0	0	0	0	0
FGSG_00314	8269	8260	961	947	109	107	916	912
FGSG_00315	612	596	11	10	0	0	0	0
FGSG_00316	2827	2776	232	227	73	73	14	16
FGSG_00317	455	451	43	48	11	11	9	10
FGSG_00318	84	89	8	7	8	8	14	15
FGSG_00319	568	572	37	40	0	0	9	9
FGSG_00320	882	884	77	81	23	23	45	46
FGSG_00321	677	675	73	71	46	45	97	91
FGSG_00322	10	10	3	4	0	0	2	2
FGSG_00323	437	436	28	28	3	3	1	2
FGSG_00324	4072	4061	722	728	177	178	93	94
FGSG_00325	97	97	6	6	0	0	2	2
FGSG_00326	13	13	2	2	0	0	1	1
FGSG_00327	670	669	98	93	4	4	6	6
FGSG_00328	1733	1736	75	73	13	13	10	10
FGSG_00329	148	149	34	34	0	0	3	3
FGSG_00330	23603	23824	2781	2810	16	16	34	33
FGSG_11745	2291	2313	180	183	45	45	21	21
FGSG_00331	333	324	75	65	2	1	5	6
FGSG_00332	2684	2680	297	299	46	46	24	23
FGSG_00333	1432	1423	72	72	5	5	6	6
FGSG_00334	146	146	31	31	0	0	5	5
FGSG_00335	554	543	76	70	17	17	17	18
FGSG_00336	27	32	3	2	0	0	2	2
FGSG_00337	833	837	71	75	11	11	8	7
FGSG_00338	16922	16907	1543	1523	133	133	166	167
FGSG_11746	16	16	0	0	1	1	4	4
FGSG_11747	104	107	2	2	8	10	8	8
FGSG_00339	1318	1328	137	140	15	15	9	9
FGSG_00340	127	129	18	18	1	1	11	11
FGSG_11748	50	49	8	6	12	11	3	1
FGSG_11749	47	45	7	6	3	3	0	1
FGSG_11750	1190	1169	28	25	45	46	33	33
FGSG_11751	0	0	0	0	0	0	0	0
FGSG_11752	1	1	1	1	2	2	3	4
FGSG_00342	25	26	2	4	0	0	0	0
FGSG_00343	3906	3902	231	224	122	123	66	67
FGSG_00344	1	1	0	0	0	0	0	0
FGSG_00345	78	78	16	13	0	0	0	0
FGSG_11753	14	14	1	1	0	0	0	0
FGSG_00346	1703	1696	204	214	6	6	19	18
FGSG_00347	250	249	99	101	44	44	84	80
FGSG_00348	10	10	1	1	4	4	2	2
FGSG_00349	1552	1536	137	140	7	7	9	10
FGSG_00350	874	862	134	125	0	0	12	11
FGSG_00351	25	25	7	7	0	0	5	6
FGSG_00352	604	595	147	139	33	34	62	54
FGSG_00353	925	913	77	67	30	30	33	33
FGSG_00354	304	281	10	9	0	0	7	7
FGSG_00355	1550	1568	182	179	20	20	11	11
FGSG_11754	1126	1134	103	98	0	0	15	13
FGSG_11755	207	210	38	39	3	3	3	3
FGSG_00357	122	122	7	6	2	2	6	6
FGSG_00358	1249	1241	110	112	5	5	4	4
FGSG_00359	715	722	79	81	11	11	13	11
FGSG_00360	393	390	35	38	2	2	3	3
FGSG_00361	109	120	21	21	0	0	3	3
FGSG_11756	85	80	5	5	1	1	1	1
FGSG_00362	387	390	79	79	9	9	3	2
FGSG_00363	436	438	47	47	2	2	5	5
FGSG_00364	363	375	41	45	26	29	10	11
FGSG_00365	868	866	86	86	45	43	12	12
FGSG_11757	1503	1507	416	419	1176	1178	1270	1265
FGSG_00366	2861	2875	411	411	194	195	136	137
FGSG_00367	951	952	96	98	7	7	37	39
FGSG_00368	716	694	93	93	81	81	35	35
FGSG_11758	27	31	7	7	0	4	6	7
FGSG_11759	2	1	0	0	3	3	0	0
FGSG_00369	1927	1921	148	143	32	32	45	46
FGSG_00370	399	392	31	31	0	0	12	12
FGSG_00371	3217	3273	270	271	58	62	67	67
FGSG_20505	0	0	0	0	0	0	0	2
FGSG_00372	917	916	69	71	3	3	5	6
FGSG_00373	8013	8022	626	614	100	100	112	109
FGSG_00374	2104	2089	173	166	82	82	32	32
FGSG_00375	340	354	29	33	6	6	6	8
FGSG_00376	6368	6360	543	545	65	66	77	76
FGSG_00377	69	70	13	12	0	0	10	9
FGSG_00378	737	726	95	95	14	14	14	14
FGSG_00379	97	94	9	7	0	0	3	3
FGSG_00380	980	965	118	124	1	1	6	8
FGSG_00381	7	8	1	0	0	0	2	2
FGSG_00382	2293	2341	295	313	66	67	75	74
FGSG_00383	47	47	6	7	0	0	6	6
FGSG_00384	13	11	0	1	4	4	4	4
FGSG_00385	1968	1956	325	328	17	17	104	104
FGSG_00386	89	89	16	14	23	23	54	53
FGSG_00387	316	316	24	26	3	3	105	105
FGSG_00388	212	213	29	28	0	0	1	1
FGSG_00389	67	66	29	29	0	0	2	2
FGSG_00390	364	354	83	86	0	0	26	31
FGSG_00391	220	210	18	18	13	13	4	5
FGSG_00392	289	317	27	23	9	8	7	6
FGSG_00393	2591	2578	110	110	128	127	48	45
FGSG_00394	20	21	1	1	1	1	2	2
FGSG_00395	11605	11625	462	458	198	198	47	50
FGSG_00396	1079	1069	76	82	33	33	14	16
FGSG_00397	5033	5030	488	475	8	8	148	144
FGSG_00398	2022	2033	190	193	2	2	7	9
FGSG_00399	1213	1212	111	108	3	3	11	11
FGSG_11760	642	647	72	76	6	4	3	3
FGSG_00401	91	82	9	7	0	0	0	0
FGSG_00402	131	135	27	30	1	1	3	3
FGSG_00403	0	0	0	0	0	0	0	0
FGSG_00404	316	313	17	16	1	1	1	1
FGSG_11761	2	3	2	2	1	1	0	0
FGSG_00405	1157	1146	98	95	13	13	22	23
FGSG_00406	180	181	24	25	1	1	100	98
FGSG_00407	743	760	62	65	0	0	12	12
FGSG_11762	113	107	5	4	0	0	7	5
FGSG_11763	3	3	0	0	0	0	0	0
FGSG_11764	10	13	1	0	0	0	1	1
FGSG_00408	2005	1997	262	256	13	13	33	32
FGSG_00409	281	292	12	13	2	2	15	20
FGSG_00410	270	272	26	28	10	13	5	5
FGSG_00411	8	8	8	7	0	0	1	1
FGSG_00412	0	0	0	0	0	0	5	5
FGSG_00413	43	45	2	2	2	2	3	3
FGSG_00414	270	269	20	19	0	0	5	5
FGSG_00415	1448	1442	859	829	8	8	2773	2730
FGSG_00416	92	92	10	9	2	2	3	3
FGSG_00417	747	778	114	120	3	3	3	2
FGSG_00418	419	421	60	58	62	62	15	15
FGSG_00419	137	136	13	12	2	2	1	2
FGSG_00420	233	235	13	13	5	5	6	7
FGSG_00421	4105	4091	534	533	26	26	58	61
FGSG_00422	542	541	394	387	3	1	5	5
FGSG_00423	147	147	12	11	3	3	0	0
FGSG_11765	340	361	30	31	22	21	25	27
FGSG_00424	2354	2338	166	167	29	29	37	35
FGSG_00425	398	398	27	26	20	19	23	22
FGSG_00426	20	19	0	0	13	12	8	7
FGSG_00427	43	43	6	5	1	1	2	2
FGSG_00428	1000	979	96	90	15	15	11	10
FGSG_00429	3766	3746	262	262	110	109	40	43
FGSG_00430	486	485	91	87	14	14	22	22
FGSG_00431	3	3	0	0	4	3	4	4
FGSG_00432	0	0	1	1	0	0	2	1
FGSG_00433	1014	1004	265	262	167	164	120	117
FGSG_00434	18437	18211	1315	1269	13570	13411	3295	3253
FGSG_11766	11	11	3	2	20	20	7	7
FGSG_00435	2423	2354	145	138	53	53	29	26
FGSG_00436	943	950	59	66	15	15	2	2
FGSG_00437	1294	1296	212	214	280	276	57	59
FGSG_11767	0	4	2	2	0	1	3	3
FGSG_00438	691	669	88	90	22	22	57	58
FGSG_00439	623	632	40	40	6	8	10	11
FGSG_00440	113	113	5	5	0	0	5	6
FGSG_00441	7	5	1	1	0	0	7	7
FGSG_00442	373	372	23	23	10	10	17	17
